Menu item,Menu item,Item revenue per location,Item revenue,Item revenue (%),Items per location,Item volume,Item volume (%),AOV,Guests,Item return rate,Item re-order rate,Business date previous start,Business date previous end,Item revenue per location previous,Item revenue previous,Item revenue percentage previous,Item volume per location previous,Item volume previous,Item volume percentage previous,Item aov previous,Item guests previous,N day item return rate previous,N day item reorder rate previous,Item revenue per location absolute difference,Item revenue per location relative difference,Item revenue absolute difference,Item revenue relative difference,Item revenue percentage absolute difference,Item revenue percentage relative difference,Item volume per location absolute difference,Item volume per location relative difference,Item volume absolute difference,Item volume relative difference,Item volume percentage absolute difference,Item volume percentage relative difference,Item aov absolute difference,Item aov relative difference,Item guests absolute difference,Item guests relative difference,N day item return rate absolute difference,N day item return rate relative difference,N day item reorder rate absolute difference,N day item reorder rate relative difference
Kids BYO,66c163b662cda637cb2478e2112386c7,415.36,1661.46,0.0090,55.2500,221,0.0135,40.65,63,0.2222,0.1270,2025-06-30,2025-07-27,238.59,1192.94,0.0087,31.4000,157.0000,0.0119,36.20,58.0000,0.3448,0.2586,176.78,0.7409,468.52,0.3927,0.0003,0.0382,23.8500,0.7596,64.0000,0.4076,0.0016,0.1315,4.45,0.1230,5.0000,,-0.1226,-0.3556,-0.1316,-0.5090
Iced Oat Masala Chai,4b20ca2314d50af8a833d825f8497f0e,149.60,598.40,0.0032,28.0000,112,0.0069,58.03,20,0.3000,0.0500,2025-06-30,2025-07-27,95.49,477.43,0.0035,18.2000,91.0000,0.0069,,28.0000,0.2857,0.1071,54.11,0.5667,120.97,0.2534,-0.0002,-0.0657,9.8000,0.5385,21.0000,,-0.0001,-0.0107,,,-8.0000,,0.0143,0.0500,-0.0571,-0.5333
Spindrift - Grapefruit,7eb389cafb173c3fe430a2ef7af062b5,16.82,67.26,0.0004,5.7500,23,0.0014,,4,0.7500,0.5000,2025-06-30,2025-07-27,17.03,85.14,0.0006,6.0000,30.0000,0.0023,,5.0000,0.2000,0.0000,-0.21,-0.0125,-17.88,,-0.0003,-0.4111,-0.2500,-0.0417,-7.0000,,-0.0009,-0.3837,,,-1.0000,,0.5500,2.7500,0.5000,0.0000
Chicken Tikka Bowl,19eee3ab8ae56d4fa56ef6ce1485693d,13145.23,52580.93,0.2846,1020.5000,4082,0.2497,35.79,305,0.2623,0.1738,2025-06-30,2025-07-27,2622.41,13112.07,0.0952,206.6000,1033.0000,0.0786,34.20,315.0000,0.2794,0.1873,10522.82,4.0126,39468.86,3.0101,0.1894,1.9893,813.9000,3.9395,3049.0000,2.9516,0.1711,2.1764,1.59,0.0465,-10.0000,-0.0317,-0.0171,-0.0611,-0.0135,-0.0722
Grain Bowl,8f1eb7b733a778fa96d20356d25b7acb,2601.80,10407.21,0.0563,188.0000,752,0.0460,35.18,218,0.3486,0.2661,2025-06-30,2025-07-27,2208.30,11041.48,0.0802,169.0000,845.0000,0.0643,29.01,341.0000,0.2903,0.1877,393.51,0.1782,-634.27,-0.0574,-0.0238,-0.2974,19.0000,0.1124,-93.0000,-0.1101,-0.0183,-0.2846,6.17,0.2127,-123.0000,-0.3607,0.0583,0.2008,0.0784,0.4176
Handcrafted Juice for a Group - 1/2 Gallon,f12094b0bded9c9432de5ac307f5bd5f,22.50,45.00,0.0002,1.5000,3,0.0002,,0,0.0000,0.0000,2025-06-30,2025-07-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sweet Cardamom Yogurt,41ee76536ff2c1a60482dbe87b9869c6,64.75,259.00,0.0014,21.5000,86,0.0053,,19,0.2632,0.1579,2025-06-30,2025-07-27,49.93,249.67,0.0018,14.4000,72.0000,0.0055,,11.0000,0.1818,0.0000,14.82,0.2967,9.33,0.0374,-0.0004,-0.2267,7.1000,0.4931,14.0000,,-0.0002,-0.0398,,,8.0000,,0.0813,0.4474,0.1579,0.0000
Mini Samosas,adb32f1bdc98ccdf3a40e53c1eb1948f,458.98,1835.92,0.0099,159.7500,639,0.0391,40.35,119,0.2437,0.1345,2025-06-30,2025-07-27,300.49,1502.45,0.0109,121.6000,608.0000,0.0463,38.34,135.0000,0.3852,0.1778,158.49,0.5274,333.47,0.2220,-0.0010,-0.0891,38.1500,0.3137,31.0000,0.0510,-0.0072,-0.1552,2.00,0.0523,-16.0000,-0.1185,-0.1415,-0.3673,-0.0433,-0.2437
Masala Chai - Oat Milk,d1d6cda5119313e3fecde5947361fe9f,13.33,40.00,0.0002,4.6667,14,0.0009,,7,0.2857,0.0000,2025-06-30,2025-07-27,21.05,105.26,0.0008,4.8000,24.0000,0.0018,,6.0000,0.3333,0.0000,-7.72,-0.3666,-65.26,-0.6200,-0.0005,-0.7167,-0.1333,-0.0278,-10.0000,,-0.0010,-0.5312,,,1.0000,,-0.0476,-0.1429,0.0000,0.0000
Samosa Chaat,ed1b49254bb3de73aa66c7b747f245fd,520.02,2080.07,0.0113,85.7500,343,0.0210,41.61,62,0.2419,0.1935,2025-06-30,2025-07-27,281.57,1407.84,0.0102,54.6000,273.0000,0.0208,36.25,80.0000,0.2500,0.1625,238.45,0.8469,672.23,0.4775,0.0010,0.1014,31.1500,0.5705,70.0000,0.2564,0.0002,0.0099,5.37,0.1480,-18.0000,,-0.0081,-0.0323,0.0310,0.1911
Garlic Naan,d82b81ee46917a4a06cdfb7736d70417,798.98,3195.91,0.0173,219.5000,878,0.0537,43.80,136,0.1618,0.0588,2025-06-30,2025-07-27,397.49,1987.45,0.0144,158.0000,790.0000,0.0601,41.85,137.0000,0.3066,0.1168,401.49,1.0101,1208.46,0.6080,0.0029,0.1987,61.5000,0.3892,88.0000,0.1114,-0.0064,-0.1066,1.95,0.0466,-1.0000,-0.0073,-0.1448,-0.4723,-0.0580,-0.4963
BYO Burrito,19dfcc1e39e0cab78562faa5ab55adbb,224.26,897.04,0.0049,17.0000,68,0.0042,,29,0.3103,0.1034,2025-06-30,2025-07-27,294.38,1471.92,0.0107,21.8000,109.0000,0.0083,35.72,44.0000,0.3636,0.1818,-70.12,-0.2382,-574.88,-0.3906,-0.0058,-0.5457,-4.8000,-0.2202,-41.0000,-0.3761,-0.0041,-0.4985,,,-15.0000,,-0.0533,-0.1466,-0.0784,-0.4310
Masala Chai Cookies,25a7af37faf799e0226041f2b0b2e282,123.62,494.47,0.0027,58.0000,232,0.0142,47.40,42,0.1429,0.0952,2025-06-30,2025-07-27,89.17,445.86,0.0032,37.2000,186.0000,0.0142,41.90,41.0000,0.4146,0.0732,34.45,0.3863,48.61,0.1090,-0.0006,-0.1733,20.8000,0.5591,46.0000,0.2473,0.0000,0.0026,5.50,0.1312,1.0000,,-0.2718,-0.6555,0.0221,0.3016
Salad Bowl,12e1c60082e99443f0803dea36bcfd1e,535.91,2143.65,0.0116,36.7500,147,0.0090,43.66,50,0.2200,0.0800,2025-06-30,2025-07-27,423.07,2115.33,0.0154,31.2000,156.0000,0.0119,43.99,61.0000,0.2295,0.0820,112.85,0.2667,28.32,0.0134,-0.0038,-0.2446,5.5500,0.1779,-9.0000,-0.0577,-0.0029,-0.2425,-0.33,-0.0074,-11.0000,,-0.0095,-0.0414,-0.0020,-0.0240
Icaro - Spearmint Yerba Mate,aa7243ca6f400ffe510c9bf89cf96707,11.25,22.50,0.0001,3.0000,6,0.0004,,2,0.0000,0.0000,2025-06-30,2025-07-27,9.00,36.00,0.0003,2.2500,9.0000,0.0007,,3.0000,0.0000,0.0000,2.25,0.2500,-13.50,,-0.0001,-0.5341,0.7500,0.3333,-3.0000,,-0.0003,-0.4642,,,-1.0000,,0.0000,0.0000,0.0000,0.0000
