"item_name_updated","period","avg_cost"
"Masala Chai - Oat Milk","P02-2026",1.8300
"Chicken Tikka Bowl","P02-2026",0.6100
"Spicy Chili Chicken Bowl","P02-2026",0.6100
"Paneer Tikka Bowl","P02-2026",0.6100
"Lamb Kebab Bowl","P02-2026",0.6100
"Masala Chai Cookies","P02-2026",0.3300
"Swirl Soft Serve","P02-2026",0.9500
"That Fire Hot Sauce - Side","P02-2026",0.4300
"Cucumber Raita","P02-2026",0.4800
"BYO Greens + Grains Bowl","P02-2026",0.6100
"BYO Grain Bowl","P02-2026",0.6100
"Masala Chai","P04-2026",1.6000
"Rupee Lager","P02-2026",1.9500
"Kingfisher","P02-2026",1.5200
"DC Brau Pils","P02-2026",1.5500
"Pabst Blue Ribbon","P02-2026",0.9900
"White Claw Black Cherry","P02-2026",1.4600
"White Claw Ruby Grapefruit","P02-2026",1.4900
"Pabst Blue Ribbon - Gameday","P02-2026",0.9900
"Chicken Tikka + Avocado Salad","P03-2026",0.6100
"Spiced Cauli + Quinoa Bowl","P03-2026",0.6100
"Open Water Still Water","P03-2026",1.2100
"Open Water Sparkling Water","P03-2026",1.1700
"Spindrift - Lemon","P03-2026",1.1200
"Olipop - Lemon Lime","P03-2026",1.8600
"Maine Root Fountain Soda","P03-2026",0.3600
"Blossom Lassi","P03-2026",1.3300
"Masala Chai - Oat Milk","P03-2026",1.9300
"Icaro - Spearmint Yerba Mate","P03-2026",2.1200
"Olipop - Cola","P03-2026",1.8600
"Mango Lassi","P03-2026",1.4100
"Iced Oat Masala Chai","P03-2026",1.9200
"Spindrift - Grapefruit","P03-2026",1.0700
"Wild Kombucha - Mango Peach","P03-2026",3.2600
"Masala Chai","P03-2026",1.6000
"Wild Kombucha - Ginger","P03-2026",3.2600
"Homemade Juice","P03-2026",
"Handcrafted Juice for a Group - 1/2 Gallon","P03-2026",
"Chicken Tikka Masala","P03-2026",3.3300
"Aloo Gobhi","P03-2026",2.2300
"Paneer Tikka Masala","P03-2026",3.5300
"Lamb Kofta Korma","P03-2026",3.9500
"Saag Paneer","P03-2026",2.7200
"Saag Chole","P03-2026",1.2500
"Coconut Veggie Curry","P03-2026",3.6300
"Butter Chicken","P03-2026",3.3300
"Paneer Butter Masala","P03-2026",3.5400
"Pick 2 Combo Plate","P03-2026",0.8000
"Chicken Curry","P03-2026",3.2700
"Kids Meal","P03-2026",1.0500
"Masala Chai Cookies","P03-2026",0.3300
"Sweet Cardamom Yogurt","P03-2026",0.8100
"Mini Samosas","P03-2026",1.1700
"Naan","P03-2026",0.4900
"Cucumber Raita","P03-2026",0.4300
"That Fire Hot Sauce (Bottle)","P03-2026",3.4100
"Garlic Naan","P03-2026",0.5900
"Samosa Chaat","P03-2026",2.1900
"That Fire Hot Sauce - Side","P03-2026",0.4400
"Side of Sauce","P03-2026",
"Side of Veggie","P03-2026",
"Side of Main","P03-2026",
"Side of Grain","P03-2026",
"Tandoori Paneer Burrito","P03-2026",1.0300
"BYO Indian Burrito","P03-2026",1.0300
