"period","menu","item_name","item_name_updated","menu_group","category_1","category_2","avg_cost","loaded_at"
"P01-2026","DELIVERY","Side of Grain","Side of Grain","SIDES","Side of Grain","Side of Grain",,"2026-06-24 10:52:38.141736+00"
"P01-2026","DELIVERY","Side of Veggie","Side of Veggie","SIDES","Side of Veggie","Side of Veggie",,"2026-06-24 10:52:38.141736+00"
"P01-2026","DELIVERY","That Fire Hot Sauce (Bottle)","That Fire Hot Sauce (Bottle)","SIDES","That Fire Hot Sauce (Bottle)","That Fire Hot Sauce (Bottle)",3.4000,"2026-06-24 10:52:38.141736+00"
"P01-2026","IN-HOUSE","Garlic Naan","Garlic Naan","SIDES","Garlic Naan","Garlic Naan",0.6000,"2026-06-24 10:52:38.141736+00"
"P01-2026","IN-HOUSE","Mini Samosas","Mini Samosas","SIDES","Mini Samosas","Mini Samosas",1.1700,"2026-06-24 10:52:38.141736+00"
"P01-2026","IN-HOUSE","Samosa Chaat","Samosa Chaat","SIDES","Samosa Chaat","Samosa Chaat",2.3700,"2026-06-24 10:52:38.141736+00"
"P01-2026","IN-HOUSE","Side of Main","Side of Main","SIDES","Side of Main","Side of Main",,"2026-06-24 10:52:38.141736+00"
"P01-2026","IN-HOUSE","That Fire Hot Sauce (Bottle)","That Fire Hot Sauce (Bottle)","SIDES","That Fire Hot Sauce (Bottle)","That Fire Hot Sauce (Bottle)",3.4000,"2026-06-24 10:52:38.141736+00"
"P01-2026","IN-HOUSE","Cucumber Raita","Cucumber Raita","SIDES","Cucumber Raita","Cucumber Raita",0.4800,"2026-06-24 10:52:38.141736+00"
"P01-2026","IN-HOUSE","Naan","Naan","SIDES","Naan","Naan",0.4900,"2026-06-24 10:52:38.141736+00"
"P01-2026","IN-HOUSE","Side of Veggie","Side of Veggie","SIDES","Side of Veggie","Side of Veggie",,"2026-06-24 10:52:38.141736+00"
"P01-2026","IN-HOUSE","That Fire Hot Sauce - Side","That Fire Hot Sauce - Side","SIDES","That Fire Hot Sauce - Side","That Fire Hot Sauce - Side",0.4400,"2026-06-24 10:52:38.141736+00"
"P01-2026","IN-HOUSE","Side of Grain","Side of Grain","SIDES","Side of Grain","Side of Grain",,"2026-06-24 10:52:38.141736+00"
"P01-2026","IN-HOUSE","Chips + Chutney","Chips + Chutney","SIDES","Chips + Chutney","Chips + Chutney",0.7400,"2026-06-24 10:52:38.141736+00"
"P01-2026","IN-HOUSE","Roti","Roti","SIDES","Roti","Roti",0.6200,"2026-06-24 10:52:38.141736+00"
"P01-2026","IN-HOUSE","Side of Sauce","Side of Sauce","SIDES","Side of Sauce","Side of Sauce",,"2026-06-24 10:52:38.141736+00"
"P01-2026","IN-HOUSE","Paneer Tikka Bowl - In House","Paneer Tikka Bowl","BOWLS","Paneer Tikka Bowl","Bowls",3.4000,"2026-06-24 10:52:38.141736+00"
"P01-2026","IN-HOUSE","Spicy Chili Chicken Bowl - In House","Spicy Chili Chicken Bowl","BOWLS","Spicy Chili Chicken Bowl","Bowls",2.7900,"2026-06-24 10:52:38.141736+00"
"P01-2026","IN-HOUSE","Chicken Tikka Bowl - In House","Chicken Tikka Bowl","BOWLS","Chicken Tikka Bowl","Bowls",2.7600,"2026-06-24 10:52:38.141736+00"
"P01-2026","IN-HOUSE","Cauliflower + Quinoa - In House","Cauliflower + Quinoa Bowl","BOWLS","Cauliflower + Quinoa Bowl","Bowls",2.9400,"2026-06-24 10:52:38.141736+00"
"P01-2026","IN-HOUSE","Chicken Tikka + Avocado Salad - In House","Chicken Tikka + Avocado Salad","BOWLS","Chicken Tikka + Avocado Salad","Bowls",2.6400,"2026-06-24 10:52:38.141736+00"
"P01-2026","IN-HOUSE","Lamb Kebab Bowl - In House","Lamb Kebab Bowl","BOWLS","Lamb Kebab Bowl","Bowls",3.6000,"2026-06-24 10:52:38.141736+00"
"P01-2026","IN-HOUSE","Harvest Chicken Bowl","Harvest Chicken Bowl","BOWLS","Harvest Chicken Bowl","Bowls",3.1900,"2026-06-24 10:52:38.141736+00"
"P01-2026","IN-HOUSE","BYO Greens + Grains Bowl - In House","BYO Greens + Grains Bowl","BYO","BYO Bowl","Bowls",1.8000,"2026-06-24 10:52:38.141736+00"
"P01-2026","IN-HOUSE","BYO Grain Bowl - In House","BYO Grain Bowl","BYO","BYO Bowl","Bowls",1.7800,"2026-06-24 10:52:38.141736+00"
"P01-2026","IN-HOUSE","Burrito - In House","BYO Indian Burrito","BYO","BYO Indian Burrito","Burritos",2.7200,"2026-06-24 10:52:38.141736+00"
"P01-2026","IN-HOUSE","BYO Salad Bowl - In House","BYO Salad Bowl","BYO","BYO Bowl","Bowls",2.0300,"2026-06-24 10:52:38.141736+00"
"P01-2026","IN-HOUSE","Tandoori Paneer Burrito - In House","Tandoori Paneer Burrito","BURRITOS","Tandoori Paneer Burrito","Burritos",3.3400,"2026-06-24 10:52:38.141736+00"
"P01-2026","IN-HOUSE","Spicy Chicken Burrito","Spicy Chicken Burrito","BURRITOS","Spicy Chicken Burrito","Burritos",2.4600,"2026-06-24 10:52:38.141736+00"
"P01-2026","IN-HOUSE","Chicken Tikka Burrito","Chicken Tikka Burrito","BURRITOS","Chicken Tikka Burrito","Burritos",2.8400,"2026-06-24 10:52:38.141736+00"
"P01-2026","IN-HOUSE","Butter Chicken Burrito - In House","Butter Chicken Burrito","BURRITOS","Butter Chicken Burrito","Burritos",3.7900,"2026-06-24 10:52:38.141736+00"
"P01-2026","IN-HOUSE","Saag Paneer - In House","Saag Paneer","PLATES","Saag Paneer","Plates",2.8200,"2026-06-24 10:52:38.141736+00"
