"period","recipe_name","clean_name","portion_unit","cogs_account","total_cost","cost_per_portion","loaded_at"
"P02-2026","MI Mango Coconut Yogurt - Desi Deluxe","Mango Coconut Yogurt - Desi Deluxe","Each",,0.1102,0.1102,"2026-06-24 10:52:32.052209+00"
"P02-2026","MI Mango Coconut Yogurt - Party Pack","Mango Coconut Yogurt - Party Pack","Each",,0.1148,0.1148,"2026-06-24 10:52:32.052209+00"
"P02-2026","MI Mango Coconut Yogurt - Portion Cup","Mango Coconut Yogurt - Portion Cup","Each",,0.3663,0.3663,"2026-06-24 10:52:32.052209+00"
"P02-2026","MI Mango Lassi","Mango Lassi","Each",,1.5065,1.5065,"2026-06-24 10:52:32.052209+00"
"P02-2026","MI Mango Lassi - 1 Cup","Mango Lassi - 1 Cup","Each",,0.8513,0.8513,"2026-06-24 10:52:32.052209+00"
"P02-2026","MI Mango Lassi - 1 Gallon","Mango Lassi - 1 Gallon","Each",,13.0798,13.0798,"2026-06-24 10:52:32.052209+00"
"P02-2026","MI Mango Lassi - 1/2 Gallon","Mango Lassi - 1/2 Gallon","Each",,7.8381,7.8381,"2026-06-24 10:52:32.052209+00"
"P02-2026","MI Mango Lassi - 12 oz fl","Mango Lassi - 12 oz fl","Each",,0.9828,0.9828,"2026-06-24 10:52:32.052209+00"
"P02-2026","MI Mango Salsa","Mango Salsa","Each",,0.2289,0.2289,"2026-06-24 10:52:32.052209+00"
"P02-2026","MI Mango Salsa - Classic","Mango Salsa - Classic","Each",,0.2747,0.2747,"2026-06-24 10:52:32.052209+00"
"P02-2026","MI Mango Salsa - Desi Deluxe","Mango Salsa - Desi Deluxe","Each",,0.2564,0.2564,"2026-06-24 10:52:32.052209+00"
"P02-2026","MI Mango Salsa - Party Pack","Mango Salsa - Party Pack","Each",,0.3205,0.3205,"2026-06-24 10:52:32.052209+00"
"P02-2026","MI Masala Beets","Masala Beets","Each",,0.0963,0.0963,"2026-06-24 10:52:32.052209+00"
"P02-2026","MI Masala Beets - Classic","Masala Beets - Classic","Each",,0.0828,0.0828,"2026-06-24 10:52:32.052209+00"
"P02-2026","MI Masala Beets - Desi Deluxe","Masala Beets - Desi Deluxe","Each",,0.0770,0.0770,"2026-06-24 10:52:32.052209+00"
"P02-2026","MI Masala Beets - Party Pack","Masala Beets - Party Pack","Each",,0.0963,0.0963,"2026-06-24 10:52:32.052209+00"
"P02-2026","MI Masala Chai Cookie - Single","Masala Chai Cookie - Single","Each",,0.1716,0.1716,"2026-06-24 10:52:32.052209+00"
"P02-2026","MI Masala Chai Cookies","Masala Chai Cookies","Each",,0.3233,0.3233,"2026-06-24 10:52:32.052209+00"
"P02-2026","MI Masala Chai Cookies - 10","Masala Chai Cookies - 10","Each",,1.5163,1.5163,"2026-06-24 10:52:32.052209+00"
